fl_iter,main_task_acc,allNDBS,adv_norm_diff_bs,adv_norm_diff,backdoor_acc
1,57.05882352941177,0.309219:0.312871:0.339252:0.294267:0.288625:0.282308:0.309659:0.281798:0.342221:0.292841,0.0,0.0,24.166666666666668
2,54.411764705882355,0.403093:0.333046:0.284846:0.310241:0.371703:0.284401:0.373212:0.311181:0.301164:0.301384,0.0,0.0,90.83333333333333
3,57.35294117647059,0.314107:0.475482:0.280563:0.323319:0.321515:0.315408:0.308972:0.315334:0.323837:0.31413,0.0,0.0,85.83333333333333
4,56.76470588235294,0.338316:0.435655:0.333825:0.368333:0.38116:0.323653:0.322018:0.443375:0.36129:0.331549,0.0,0.0,88.33333333333333
5,58.529411764705884,0.360911:0.404926:0.366158:0.344432:0.350527:0.465406:0.382855:0.409739:0.381953:0.343142,0.0,0.0,80.0
6,59.411764705882355,0.573216:0.49452:0.41104:0.405469:0.574906:0.408645:0.475645:0.408154:0.506155:0.465144,0.0,0.0,19.166666666666668
7,59.11764705882353,0.434563:0.453884:0.491113:0.453064:0.442507:0.509516:0.544653:0.471459:0.467705:0.4685,0.0,0.0,57.5
8,60.88235294117647,0.523715:0.502673:0.608235:0.539639:0.558163:0.56366:0.500362:0.512999:0.511118:0.50499,0.0,0.0,43.333333333333336
9,60.588235294117645,0.516957:0.546733:0.608569:0.551198:0.576017:0.583278:0.577474:0.585635:0.558719:0.508556,0.0,0.0,13.333333333333334
10,61.1764705882353,0.63774:0.651901:0.606446:0.618829:0.648751:0.567938:0.702423:0.618152:0.718261:0.616154,0.0,0.0,22.5
11,62.05882352941177,0.678898:0.759231:0.702891:0.728081:0.703856:0.720677:0.683376:0.801383:0.699411:0.717462,0.0,0.0,15.833333333333334
12,62.35294117647059,0.843855:0.874053:0.799398:0.850242:0.828786:0.862328:0.893679:0.83871:0.795425:0.843925,0.0,0.0,16.666666666666668
13,61.470588235294116,1.013199:0.928001:0.874727:0.983313:0.9575:0.910835:0.982792:0.952926:0.965517:0.984754,0.0,0.0,12.5
14,60.588235294117645,1.075187:1.044731:1.170078:1.057646:1.126107:1.027369:1.023752:1.09149:1.047984:1.016924,0.0,0.0,10.833333333333334
15,61.470588235294116,1.244837:1.259584:1.20832:1.276545:1.225443:1.211971:1.175939:1.238506:1.235143:1.266493,0.0,0.0,11.666666666666666
16,62.94117647058823,1.328324:1.369067:1.338478:1.317155:1.348992:1.355665:1.336644:1.376676:1.357005:1.337332,0.0,0.0,10.0
17,65.29411764705883,1.48651:1.492879:1.51673:1.517213:1.461985:1.491456:1.514302:1.442342:1.431835:1.465573,0.0,0.0,18.333333333333332
18,65.88235294117646,1.445875:1.468789:1.566695:1.455466:1.520784:1.471929:1.577052:1.396202:1.414396:1.496064,0.0,0.0,7.5
19,63.529411764705884,1.474761:1.545707:1.507388:1.63629:1.530554:1.655111:1.577204:1.47821:1.565582:1.626205,0.0,0.0,10.833333333333334
20,67.3529411764706,1.690136:1.53634:1.590547:1.627521:1.658606:1.543881:1.583768:1.510559:1.541846:1.589561,0.0,0.0,10.833333333333334
21,65.0,1.555265:1.652492:1.585749:1.679218:1.57284:1.505338:1.564185:1.574865:1.528943:1.616736,0.0,0.0,11.666666666666666
22,63.529411764705884,1.502339:1.597999:1.582557:1.577904:1.481004:1.518002:1.602885:1.547648:1.571143:1.569793,0.0,0.0,10.0
23,66.17647058823529,1.584654:1.662557:1.742035:1.745062:1.696371:1.707672:1.594278:1.756963:1.715951:1.758956,0.0,0.0,6.666666666666667
24,66.17647058823529,1.706024:1.774295:1.611764:1.758212:1.700526:1.69667:1.648898:1.684289:1.705028:1.606395,0.0,0.0,6.666666666666667
25,65.29411764705883,1.694587:1.729983:1.771536:1.613433:1.673534:1.615161:1.680103:1.730919:1.682494:1.833907,0.0,0.0,4.166666666666667
26,67.3529411764706,1.74067:1.75593:1.736011:1.617452:1.830862:1.708356:1.756107:1.662717:1.910073:1.733117,0.0,0.0,5.0
27,65.88235294117646,1.769826:1.774145:1.759138:1.646672:1.846796:1.666402:1.732341:1.851655:1.745293:1.725749,0.0,0.0,20.0
28,65.58823529411765,1.740638:1.716281:1.68111:1.704855:1.661649:1.666385:1.701631:1.857057:1.706359:1.693201,0.0,0.0,10.833333333333334
29,67.05882352941177,1.780763:1.681452:1.662411:1.753116:1.7276:1.774231:1.723354:1.779578:1.784451:1.624336,0.0,0.0,7.5
30,67.94117647058823,1.910106:1.890387:1.843636:1.917272:1.795897:1.93654:1.82267:1.864149:1.956362:1.983255,0.0,0.0,4.166666666666667
31,68.23529411764706,1.774463:1.770043:1.845865:1.781649:1.7766:1.818288:1.782033:1.828858:1.943738:1.872427,0.0,0.0,5.0
32,69.70588235294117,1.789048:1.849275:1.893484:1.81216:1.867002:1.818237:1.841178:1.934558:1.777649:1.835984,0.0,0.0,5.0
33,69.41176470588235,2.010781:1.983718:2.141362:2.08827:1.980858:2.058483:1.989797:1.84492:1.798796:2.08866,0.0,0.0,2.5
34,69.11764705882354,1.811534:1.80553:1.836784:1.831153:1.833233:1.881504:1.855628:1.916871:1.812981:1.837723,0.0,0.0,7.5
35,70.0,1.76717:1.948703:1.854961:1.87163:1.879521:1.867895:1.834358:1.949662:1.881804:1.902453,0.0,0.0,9.166666666666666
36,74.70588235294117,1.963609:1.852005:1.9455:1.763744:2.044444:1.991708:1.87507:2.013457:1.898261:1.986834,0.0,0.0,6.666666666666667
37,71.76470588235294,1.891259:1.933909:1.938036:1.946308:1.828199:1.835088:1.741632:1.839097:1.834173:1.902045,0.0,0.0,5.833333333333333
38,70.58823529411765,1.938638:2.021851:1.846094:1.925191:1.919864:2.03683:2.004308:2.017343:2.02701:1.978817,0.0,0.0,9.166666666666666
39,70.88235294117646,1.916419:1.917849:1.967188:1.988249:2.044591:1.947654:1.930224:1.886824:1.939462:1.983271,0.0,0.0,10.833333333333334
40,69.41176470588235,2.059554:1.995285:2.021062:1.98849:1.88202:1.986966:1.828936:1.959641:1.950745:1.968107,0.0,0.0,10.833333333333334
41,75.29411764705883,1.943583:2.017951:2.030786:1.934428:2.086608:1.950912:1.936349:2.129595:1.917606:1.98047,0.0,0.0,15.833333333333334
42,74.11764705882354,2.060795:1.859656:2.039458:1.888644:1.95358:1.949022:1.980952:2.075206:2.001542:1.954812,0.0,0.0,22.5
43,75.0,1.991934:1.921032:1.967598:1.967589:1.802465:2.014778:1.880671:1.925232:1.942616:1.9173,0.0,0.0,15.833333333333334
44,72.6470588235294,1.976697:1.971226:1.795599:2.062464:1.854948:2.078363:2.039369:2.040064:1.97565:1.923488,0.0,0.0,11.666666666666666
45,71.47058823529412,2.085935:1.959619:1.955047:1.946048:2.039593:2.113783:2.037107:1.998839:2.038836:2.06111,0.0,0.0,9.166666666666666
46,72.05882352941177,2.016437:2.11133:2.143794:2.09742:2.17312:2.022939:2.025695:2.074467:2.274284:2.10614,0.0,0.0,15.0
47,70.29411764705883,1.91745:1.859494:1.904902:1.919194:1.911383:2.046465:1.925216:1.943989:1.939167:1.877339,0.0,0.0,7.5
48,72.05882352941177,2.006467:2.093658:2.09422:1.900523:2.107479:1.966878:1.974742:1.990307:2.032743:2.136804,0.0,0.0,10.833333333333334
