fl_iter,main_task_acc,allNDBS,adv_norm_diff_bs,adv_norm_diff,backdoor_acc
1,58.529411764705884,0.309219:0.312871:0.339252:0.294267:0.288625:0.282308:0.309659:0.281798:0.342221:0.292841,0.0,0.0,42.5
2,54.11764705882353,0.406592:0.338129:0.28916:0.313972:0.374329:0.289064:0.372642:0.318725:0.307791:0.305555,0.0,0.0,95.83333333333333
3,58.529411764705884,0.340117:0.460822:0.295588:0.336089:0.352054:0.341786:0.326429:0.341661:0.353991:0.339321,0.0,0.0,19.166666666666668
4,55.0,0.398346:0.510851:0.379375:0.42414:0.439842:0.340384:0.348145:0.406764:0.373376:0.348721,0.0,0.0,92.5
5,58.529411764705884,0.371849:0.406555:0.406425:0.364453:0.396109:0.519016:0.452492:0.482219:0.384774:0.407331,0.0,0.0,65.0
6,58.8235294117647,0.615212:0.507667:0.448622:0.45169:0.569661:0.430246:0.513066:0.444683:0.505171:0.492713,0.0,0.0,71.66666666666667
7,61.470588235294116,0.50225:0.498557:0.538768:0.495252:0.5102:0.582127:0.54028:0.545959:0.498039:0.504455,0.0,0.0,40.0
8,60.88235294117647,0.57868:0.547903:0.636054:0.586346:0.597583:0.625249:0.546863:0.557069:0.550063:0.551396,0.0,0.0,25.0
9,58.23529411764706,0.565033:0.585727:0.667167:0.617768:0.610402:0.62075:0.628514:0.640835:0.607891:0.560141,0.0,0.0,19.166666666666668
10,55.588235294117645,0.669727:0.652134:0.650407:0.674537:0.677426:0.604009:0.707835:0.635125:0.737031:0.677073,0.0,0.0,1.6666666666666667
11,61.1764705882353,0.707862:0.809162:0.72124:0.833664:0.753833:0.749741:0.772193:0.811021:0.748506:0.723277,0.0,0.0,23.333333333333332
12,59.11764705882353,0.839992:0.869289:0.814833:0.842987:0.830202:0.873154:0.894245:0.848175:0.799156:0.845017,0.0,0.0,25.0
13,58.529411764705884,0.992025:0.878291:0.82901:0.941163:0.890429:0.846034:0.945378:0.900766:0.910542:0.918002,0.0,0.0,15.0
14,57.94117647058823,0.943067:0.943359:1.047764:0.953512:1.033275:0.938159:0.927922:0.967231:0.936073:0.92113,0.0,0.0,12.5
